Verification Batch ID,Source ID,Counted Sample ID,Existing or New,URL or Official Record Identifier,Publisher/Institution,Source Origin Group,Source Type,Primary/Official Classification,Accessibility Result,Final URL,Redirect Observed,Identity Result,Claim Support Result,Qualifies as Activity Signal,Independence Pair ID,Reviewer Agent ID,Review Date,Review Time,Final Review Status,Notes
MV-C,SRC-DEC-STUDIO-NAME-001-133,CNT-DEC-STUDIO-NAME-001-067,Existing,https://www.drinkboxstudios.com/,DrinkBox Studios,ORG:www.drinkboxstudios.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.drinkboxstudios.com/,NO,PASS,PASS,YES,PAIR-067,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-134,CNT-DEC-STUDIO-NAME-001-067,Existing,https://www.drinkboxstudios.com/games,DrinkBox Studios,ORG:www.drinkboxstudios.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.drinkboxstudios.com/games,NO,PASS,PASS,YES,PAIR-067,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-135,CNT-DEC-STUDIO-NAME-001-068,Existing,https://kitfoxgames.com/,Kitfox Games,ORG:kitfoxgames.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://www.kitfoxgames.com/en,YES,PASS,PASS,YES,PAIR-068,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-136,CNT-DEC-STUDIO-NAME-001-068,Existing,https://kitfoxgames.com/games/,Kitfox Games,ORG:kitfoxgames.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,BROKEN_LINK,https://kitfoxgames.com/games/,NO,RECHECK_REQUIRED,RECHECK_REQUIRED,NO,PAIR-068,quality-assurance-director,2026-08-10,12:30:00+03:00,REJECTED,Live request returned HTTP 404; source cannot count as active evidence.
MV-C,SRC-DEC-STUDIO-NAME-001-137,CNT-DEC-STUDIO-NAME-001-069,Existing,https://braceyourselfgames.com/,Brace Yourself Games,ORG:braceyourselfgames.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://braceyourselfgames.com/,NO,PASS,PASS,YES,PAIR-069,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-138,CNT-DEC-STUDIO-NAME-001-069,Existing,https://braceyourselfgames.com/games/,Brace Yourself Games,ORG:braceyourselfgames.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://braceyourselfgames.com/games/,NO,PASS,PASS,YES,PAIR-069,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-139,CNT-DEC-STUDIO-NAME-001-070,Existing,https://freebirdgames.com/,Freebird Games,ORG:freebirdgames.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://freebirdgames.com/,NO,PASS,PASS,YES,PAIR-070,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-140,CNT-DEC-STUDIO-NAME-001-070,Existing,https://freebirdgames.com/games/,Freebird Games,ORG:freebirdgames.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://freebirdgames.com/games/,NO,PASS,PASS,YES,PAIR-070,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-141,CNT-DEC-STUDIO-NAME-001-071,Existing,https://studiomdhr.com/,Studio MDHR,ORG:studiomdhr.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://studiomdhr.com/,NO,PASS,PASS,YES,PAIR-071,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-142,CNT-DEC-STUDIO-NAME-001-071,Existing,https://studiomdhr.com/game/,Studio MDHR,ORG:studiomdhr.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,BROKEN_LINK,https://studiomdhr.com/game/,NO,RECHECK_REQUIRED,RECHECK_REQUIRED,NO,PAIR-071,quality-assurance-director,2026-08-10,12:30:00+03:00,REJECTED,Live request returned HTTP 404; source cannot count as active evidence.
MV-C,SRC-DEC-STUDIO-NAME-001-143,CNT-DEC-STUDIO-NAME-001-072,Existing,https://www.teamcherry.com.au/,Team Cherry,ORG:www.teamcherry.com.au,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.teamcherry.com.au/,NO,PASS,PASS,YES,PAIR-072,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-144,CNT-DEC-STUDIO-NAME-001-072,Existing,https://www.hollowknightsilksong.com/,Team Cherry,ORG:hollowknightsilksong.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://hollowknightsilksong.com/,YES,PASS,PASS,YES,PAIR-072,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-145,CNT-DEC-STUDIO-NAME-001-073,Existing,https://www.witchbeam.com.au/,Witch Beam,ORG:www.witchbeam.com.au,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://witchbeam.com.au/,YES,PASS,PASS,YES,PAIR-073,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-146,CNT-DEC-STUDIO-NAME-001-073,Existing,https://www.unpackinggame.com/,Witch Beam,ORG:www.unpackinggame.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.unpackinggame.com/,NO,PASS,PASS,YES,PAIR-073,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-147,CNT-DEC-STUDIO-NAME-001-074,Existing,https://www.beethovenanddinosaur.com/,Beethoven & Dinosaur,ORG:www.beethovenanddinosaur.com,Official organisation source,PRIMARY/OFFICIAL,ACCESS_BLOCKED,https://www.beethovenanddinosaur.com/,NO,RECHECK_REQUIRED,RECHECK_REQUIRED,NO,PAIR-074,quality-assurance-director,2026-08-10,12:30:00+03:00,REJECTED,Live HTTPS request timed out; source cannot count as active evidence.
MV-C,SRC-DEC-STUDIO-NAME-001-148,CNT-DEC-STUDIO-NAME-001-074,Existing,https://www.theartfulescape.com/,Beethoven & Dinosaur,ORG:theartfulescape.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://theartfulescape.com/,YES,PASS,PASS,YES,PAIR-074,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-149,CNT-DEC-STUDIO-NAME-001-075,Existing,https://mojikenstudio.com/,Mojiken Studio,ORG:mojikenstudio.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://mojikenstudio.com/,NO,PASS,PASS,YES,PAIR-075,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-150,CNT-DEC-STUDIO-NAME-001-075,Existing,https://mojikenstudio.com/games/,Mojiken Studio,ORG:mojikenstudio.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,BROKEN_LINK,https://mojikenstudio.com/games/,NO,RECHECK_REQUIRED,RECHECK_REQUIRED,NO,PAIR-075,quality-assurance-director,2026-08-10,12:30:00+03:00,REJECTED,Live request returned HTTP 404; source cannot count as active evidence.
MV-C,SRC-DEC-STUDIO-NAME-001-151,CNT-DEC-STUDIO-NAME-001-076,Existing,https://supercell.com/,Supercell,ORG:supercell.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://supercell.com/,NO,PASS,PASS,YES,PAIR-076,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-152,CNT-DEC-STUDIO-NAME-001-076,Existing,https://supercell.com/en/games/,Supercell,ORG:supercell.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://supercell.com/en/games/,NO,PASS,PASS,YES,PAIR-076,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-153,CNT-DEC-STUDIO-NAME-001-077,Existing,https://www.homagames.com/,Homa Games,ORG:www.homagames.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.homagames.com/,NO,PASS,PASS,YES,PAIR-077,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-154,CNT-DEC-STUDIO-NAME-001-077,Existing,https://www.king.com/games,King,ORG:www.king.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.king.com/games,NO,FAIL,FAIL,NO,PAIR-077,quality-assurance-director,2026-08-10,12:30:00+03:00,REJECTED,Final destination/publisher does not match the recorded subject source identity.
MV-C,SRC-DEC-STUDIO-NAME-001-155,CNT-DEC-STUDIO-NAME-001-078,Existing,https://www.scopely.com/,Scopely,ORG:www.scopely.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.scopely.com/,NO,PASS,PASS,YES,PAIR-078,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-156,CNT-DEC-STUDIO-NAME-001-078,Existing,https://www.scopely.com/en/games,Scopely,ORG:www.scopely.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.scopely.com/en/games,NO,PASS,PASS,YES,PAIR-078,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-157,CNT-DEC-STUDIO-NAME-001-079,Existing,https://www.zynga.com/,Zynga,ORG:www.zynga.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.zynga.com/,NO,PASS,PASS,YES,PAIR-079,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-158,CNT-DEC-STUDIO-NAME-001-079,Existing,https://www.zynga.com/games/,Zynga,ORG:www.zynga.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.zynga.com/games/,NO,PASS,PASS,YES,PAIR-079,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-159,CNT-DEC-STUDIO-NAME-001-080,Existing,https://nianticlabs.com/,Niantic,ORG:nianticlabs.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://explore.scopely.com/,YES,FAIL,FAIL,NO,PAIR-080,quality-assurance-director,2026-08-10,12:30:00+03:00,REJECTED,Final destination/publisher does not match the recorded subject source identity.
MV-C,SRC-DEC-STUDIO-NAME-001-160,CNT-DEC-STUDIO-NAME-001-080,Existing,https://nianticlabs.com/products,Niantic,ORG:explore.scopely.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,BROKEN_LINK,https://explore.scopely.com/products,YES,RECHECK_REQUIRED,RECHECK_REQUIRED,NO,PAIR-080,quality-assurance-director,2026-08-10,12:30:00+03:00,REJECTED,Live request returned HTTP 404; source cannot count as active evidence.
MV-C,SRC-DEC-STUDIO-NAME-001-161,CNT-DEC-STUDIO-NAME-001-081,Existing,https://www.jamcity.com/,Jam City,ORG:www.jamcity.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.jamcity.com/,NO,PASS,PASS,YES,PAIR-081,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-162,CNT-DEC-STUDIO-NAME-001-081,Existing,https://www.jamcity.com/games/,Jam City,ORG:www.jamcity.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.jamcity.com/games/,NO,PASS,PASS,YES,PAIR-081,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-163,CNT-DEC-STUDIO-NAME-001-082,Existing,https://playrix.com/,Playrix,ORG:playrix.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://playrix.com/,NO,PASS,PASS,YES,PAIR-082,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-164,CNT-DEC-STUDIO-NAME-001-082,Existing,https://playrix.com/games/,Playrix,ORG:playrix.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://playrix.com/games/,NO,PASS,PASS,YES,PAIR-082,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-165,CNT-DEC-STUDIO-NAME-001-083,Existing,https://www.moonactive.com/,Moon Active,ORG:www.moonactive.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.moonactive.com/,NO,PASS,PASS,YES,PAIR-083,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-166,CNT-DEC-STUDIO-NAME-001-083,Existing,https://www.moonactive.com/games/,Moon Active,ORG:www.moonactive.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,BROKEN_LINK,https://www.moonactive.com/games/,NO,RECHECK_REQUIRED,RECHECK_REQUIRED,NO,PAIR-083,quality-assurance-director,2026-08-10,12:30:00+03:00,REJECTED,Live request returned HTTP 404; source cannot count as active evidence.
MV-C,SRC-DEC-STUDIO-NAME-001-167,CNT-DEC-STUDIO-NAME-001-084,Existing,https://www.miniclip.com/,Miniclip,ORG:www.miniclip.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.miniclip.com/,NO,PASS,PASS,YES,PAIR-084,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-168,CNT-DEC-STUDIO-NAME-001-084,Existing,https://www.miniclip.com/games,Miniclip,ORG:www.miniclip.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.miniclip.com/games,NO,PASS,PASS,YES,PAIR-084,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-169,CNT-DEC-STUDIO-NAME-001-085,Existing,https://www.voodoo.io/,Voodoo,ORG:www.voodoo.io,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://voodoo.io/,YES,PASS,PASS,YES,PAIR-085,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-170,CNT-DEC-STUDIO-NAME-001-085,Existing,https://www.voodoo.io/games,Voodoo,ORG:voodoo.io,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,BROKEN_LINK,https://voodoo.io/games,YES,RECHECK_REQUIRED,RECHECK_REQUIRED,NO,PAIR-085,quality-assurance-director,2026-08-10,12:30:00+03:00,REJECTED,Live request returned HTTP 404; source cannot count as active evidence.
MV-C,SRC-DEC-STUDIO-NAME-001-171,CNT-DEC-STUDIO-NAME-001-086,Existing,https://www.rollicgames.com/,Rollic,ORG:www.rollicgames.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.rollicgames.com/,NO,PASS,PASS,YES,PAIR-086,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-172,CNT-DEC-STUDIO-NAME-001-086,Existing,https://www.rollicgames.com/games,Rollic,ORG:www.rollicgames.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.rollicgames.com/games,NO,PASS,PASS,YES,PAIR-086,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-173,CNT-DEC-STUDIO-NAME-001-087,Existing,https://dreamgames.com/,Dream Games,ORG:dreamgames.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://www.dreamgames.com/,YES,PASS,PASS,YES,PAIR-087,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-174,CNT-DEC-STUDIO-NAME-001-087,Existing,https://dreamgames.com/games,Dream Games,ORG:www.dreamgames.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://www.dreamgames.com/games,YES,PASS,PASS,YES,PAIR-087,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-175,CNT-DEC-STUDIO-NAME-001-088,Existing,https://peak.com/,Peak,ORG:peak.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://peak.com/,NO,PASS,PASS,YES,PAIR-088,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-176,CNT-DEC-STUDIO-NAME-001-088,Existing,https://peak.com/games,Peak,ORG:peak.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://peak.com/games,NO,PASS,PASS,YES,PAIR-088,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-177,CNT-DEC-STUDIO-NAME-001-089,Existing,https://goodjobgames.com/,Good Job Games,ORG:goodjobgames.com,Official organisation source,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://www.goodjobgames.com/,YES,PASS,PASS,YES,PAIR-089,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
MV-C,SRC-DEC-STUDIO-NAME-001-178,CNT-DEC-STUDIO-NAME-001-089,Existing,https://goodjobgames.com/games,Good Job Games,ORG:www.goodjobgames.com,Resmî şirket/kurum sayfası veya doğrudan resmî platform kaydı,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://www.goodjobgames.com/games,YES,PASS,PASS,YES,PAIR-089,quality-assurance-director,2026-08-10,12:30:00+03:00,REVIEWED,Live HTTP content supports subject identity and public game-development/publishing activity.
