Batch ID,Source ID,Counted Sample ID,Existing or New,URL / Official Record ID,Publisher/Institution,Source Origin Group,Source Type,Primary/Official Classification,Accessibility Result,Final URL,Identity Result,Claim Support Result,Qualifies as Evidence,Independence Pair ID,Reviewer Agent ID,Review Date,Review Time,Final Review Status,Notes
MV-H,SRC-DEC-STUDIO-NAME-001-391,CNT-DEC-STUDIO-NAME-001-196,Existing,https://www.ea.com/news/ea-sports-fc,Electronic Arts,ORG:ea.com,Official announcement,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.ea.com/news/ea-sports-fc,PASS,PASS,YES,PAIR-196-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Confirms EA SPORTS FC transition and announcement date.
MV-H,SRC-DEC-STUDIO-NAME-001-392,CNT-DEC-STUDIO-NAME-001-196,Existing,https://www.ea.com/games/ea-sports-fc,Electronic Arts,ORG:ea.com,Official product page,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.ea.com/games/ea-sports-fc,PASS,PASS,YES,PAIR-196-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Supports current EA SPORTS FC identity; same origin as source 391 and not counted as independent corroboration.
MV-H,SRC-DEC-STUDIO-NAME-001-393,CNT-DEC-STUDIO-NAME-001-197,Existing,https://overwatch.blizzard.com/en-us/news/23739103/,Blizzard Entertainment,ORG:blizzard.com,Official article,PRIMARY/OFFICIAL,BROKEN_LINK,https://overwatch.blizzard.com/en-us/news/23739103/,PASS,FAIL,NO,PAIR-197,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,HTTP 404.
MV-H,SRC-DEC-STUDIO-NAME-001-394,CNT-DEC-STUDIO-NAME-001-197,Existing,https://overwatch.blizzard.com/en-us/,Blizzard Entertainment,ORG:blizzard.com,Official product site,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://overwatch.blizzard.com/en-us/,PASS,PASS,YES,PAIR-197-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Supports current Overwatch and Cassidy identity but not the historical date alone.
MV-H,SRC-DEC-STUDIO-NAME-001-395,CNT-DEC-STUDIO-NAME-001-198,Existing,https://www.ubisoft.com/en-us/game/immortals-fenyx-rising,Ubisoft,ORG:ubisoft.com,Official product page,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://store.ubisoft.com/tr/immortals-fenyx-rising/5cec210a39798c0870c07684.html,PASS,PASS,YES,PAIR-198-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Supports current title and publisher identity; redirect chain observed.
MV-H,SRC-DEC-STUDIO-NAME-001-396,CNT-DEC-STUDIO-NAME-001-198,Existing,https://www.ubisoft.com/en-us/help/article/name-change-for-gods-monsters/000079314,Ubisoft,ORG:ubisoft.com,Official help article,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.ubisoft.com/en-us/help/article/name-change-for-gods-monsters/000079314,PASS,PASS,YES,PAIR-198-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Confirms the old and new title; causal claim remains disputed.
MV-H,SRC-DEC-STUDIO-NAME-001-397,CNT-DEC-STUDIO-NAME-001-199,Existing,https://www.praeyforthegods.com/,No Matter Studios,ORG:praeyforthegods.com,Official product site,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.praeyforthegods.com/,PASS,PASS,YES,PAIR-199-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Supports organization and current title but not the full historical event alone.
MV-H,SRC-DEC-STUDIO-NAME-001-398,CNT-DEC-STUDIO-NAME-001-199,Existing,https://store.steampowered.com/app/494430/Praey_for_the_Gods/,Valve Steam,PLATFORM:steampowered.com,Platform product record,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://store.steampowered.com/app/494430/Praey_for_the_Gods/,PASS,PASS,YES,PAIR-199-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Supports developer and current title; does not independently prove the dispute.
MV-H,SRC-DEC-STUDIO-NAME-001-399,CNT-DEC-STUDIO-NAME-001-200,Existing,https://about.fb.com/news/2014/01/introducing-paper/,Meta,ORG:about.fb.com,Official announcement,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://about.fb.com/news/2014/01/introducing-paper-stories-from-facebook-2/,PASS,PASS,YES,PAIR-200-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Confirms Facebook's Paper identity and launch timing; redirect recorded.
MV-H,SRC-DEC-STUDIO-NAME-001-400,CNT-DEC-STUDIO-NAME-001-200,Existing,https://www.fiftythree.com/,FiftyThree,ORG:fiftythree.com,Corporate site,PRIMARY/OFFICIAL,BROKEN_LINK,https://www.fiftythree.com/,RECHECK_REQUIRED,FAIL,NO,PAIR-200,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,Connection failed.
MV-H,MV-H-NEWSRC-001,CNT-DEC-STUDIO-NAME-001-194,New,https://mojang.github.io/CallersBaneSiteArchive/articles/articles.html,Mojang,ORG:mojang.github.io,Official site archive,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://mojang.github.io/CallersBaneSiteArchive/articles/articles.html,PASS,PASS,YES,PAIR-194-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Official archive lists the June 20 2018 announcement and preserves Scrolls-era and Caller's Bane materials.
MV-H,MV-H-NEWSRC-002,CNT-DEC-STUDIO-NAME-001-191,New,https://arstechnica.com/gaming/2011/10/mojang-wins-first-ruling-in-scrolls-legal-battle-with-zenimax-media/,Ars Technica,NEWS:arstechnica.com,Independent news,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://arstechnica.com/gaming/2011/10/mojang-wins-first-ruling-in-scrolls-legal-battle-with-zenimax-media/,PASS,PASS,YES,PAIR-191-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Independent contemporaneous report confirms the dispute; no accessible case-specific official pair passed.
MV-H,MV-H-NEWSRC-003,CNT-DEC-STUDIO-NAME-001-192,New,https://www.govinfo.gov/content/pkg/USCOURTS-cand-3_16-mc-80070/pdf/USCOURTS-cand-3_16-mc-80070-1.pdf,United States Courts via GovInfo,GOV:govinfo.gov,Court record,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.govinfo.gov/content/pkg/USCOURTS-cand-3_16-mc-80070/pdf/USCOURTS-cand-3_16-mc-80070-1.pdf,PASS,PASS,YES,PAIR-192-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Official court record identifies King and the CANDY trademark proceedings.
MV-H,MV-H-NEWSRC-004,CNT-DEC-STUDIO-NAME-001-192,New,https://www.gamespot.com/articles/candy-crush-dev-abandons-candy-trademark-in-us-after-controversy/1100-6417960/,GameSpot,NEWS:gamespot.com,Independent news,SECONDARY/INDEPENDENT,ACCESS_BLOCKED,https://www.gamespot.com/articles/candy-crush-dev-abandons-candy-trademark-in-us-after-controversy/1100-6417960/,PASS,PASS,NO,PAIR-192-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,HTTP 403 bot block; replaced by accessible source MV-H-NEWSRC-016.
MV-H,MV-H-NEWSRC-005,CNT-DEC-STUDIO-NAME-001-193,New,https://projectzomboid.com/blog/news/2024/01/project-zomboid-mobile/,The Indie Stone,ORG:projectzomboid.com,Official warning,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://projectzomboid.com/blog/news/2024/01/project-zomboid-mobile/,PASS,PASS,YES,PAIR-193-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Exact official warning confirms fake mobile claims and scam risk; no qualifying independent pair located.
MV-H,MV-H-NEWSRC-006,CNT-DEC-STUDIO-NAME-001-194,New,https://gameinformer.com/2018/06/20/digital-card-game-scrolls-renamed-to-callers-bane-made-free-to-play,Game Informer,NEWS:gameinformer.com,Independent news,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://gameinformer.com/2018/06/20/digital-card-game-scrolls-renamed-to-callers-bane-made-free-to-play,PASS,PASS,YES,PAIR-194-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Confirms old name new name and date independently.
MV-H,MV-H-NEWSRC-007,CNT-DEC-STUDIO-NAME-001-195,New,https://www.pcgamer.com/ion-maiden-is-now-ion-fury-launching-in-august/,PC Gamer,NEWS:pcgamer.com,Independent news,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://www.pcgamer.com/ion-maiden-is-now-ion-fury-launching-in-august/,PASS,PASS,YES,PAIR-195-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Independent report confirms Ion Maiden to Ion Fury on July 11 2019.
MV-H,MV-H-NEWSRC-008,CNT-DEC-STUDIO-NAME-001-196,New,https://www.axios.com/2022/05/10/fifa-ea-sports-video-game-deal-ending,Axios,NEWS:axios.com,Independent news,SECONDARY/INDEPENDENT,ACCESS_BLOCKED,https://www.axios.com/2022/05/10/fifa-ea-sports-video-game-deal-ending,PASS,PASS,NO,PAIR-196-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,HTTP 403 bot block; replaced by accessible source MV-H-NEWSRC-017.
MV-H,MV-H-NEWSRC-009,CNT-DEC-STUDIO-NAME-001-197,New,https://overwatch.blizzard.com/en-us/news/patch-notes/live/2021/10/,Blizzard Entertainment,ORG:blizzard.com,Official patch notes,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://overwatch.blizzard.com/en-us/news/patch-notes/live/2021/10/,PASS,PASS,YES,PAIR-197-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,October 26 2021 patch notes record introduction of the Cassidy hero name.
MV-H,MV-H-NEWSRC-010,CNT-DEC-STUDIO-NAME-001-197,New,https://as.com/meristation/2021/10/23/noticias/1634975511_694148.html,Meristation,NEWS:as.com,Independent news,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://as.com/meristation/2021/10/23/noticias/1634975511_694148.html,PASS,PASS,YES,PAIR-197-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Independent report identifies McCree and Cole Cassidy and the October 26 effective date.
MV-H,MV-H-NEWSRC-011,CNT-DEC-STUDIO-NAME-001-198,New,https://www.nintendolife.com/news/2020/09/legal_documents_show_that_monster_energy-opposed-ubisofts-gods-and-monsters-game-title,Nintendo Life,NEWS:nintendolife.com,Independent news,SECONDARY/INDEPENDENT,ACCESS_BLOCKED,https://www.nintendolife.com/news/2020/09/legal_documents_show_that_monster-energy-opposed-ubisofts-gods-and-monsters-game-title,PASS,PASS,NO,PAIR-198-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,HTTP 403 bot block; replaced by accessible source MV-H-NEWSRC-018.
MV-H,MV-H-NEWSRC-012,CNT-DEC-STUDIO-NAME-001-199,New,https://steamcommunity.com/app/494430/discussions/0/1777135944132916914/,No Matter Studios community record,PLATFORM:steamcommunity.com,Platform-hosted primary statement,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://steamcommunity.com/app/494430/discussions/0/1777135944132916914/,PASS,PASS,YES,PAIR-199-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Pinned case explanation records old and new names dispute and cost rationale.
MV-H,MV-H-NEWSRC-013,CNT-DEC-STUDIO-NAME-001-199,New,https://www.gamespot.com/articles/game-changes-its-name-to-avoid-legal-battle-with-b/1100-6449781/,GameSpot,NEWS:gamespot.com,Independent news,SECONDARY/INDEPENDENT,ACCESS_BLOCKED,https://www.gamespot.com/articles/game-changes-its-name-to-avoid-legal-battle-with-b/1100-6449781/,PASS,PASS,NO,PAIR-199-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REJECTED,HTTP 403 bot block; replaced by accessible source MV-H-NEWSRC-019.
MV-H,MV-H-NEWSRC-014,CNT-DEC-STUDIO-NAME-001-200,New,https://techcrunch.com/2014/02/03/a-tale-of-two-papers-facebook-fiftythree/,TechCrunch,NEWS:techcrunch.com,Independent news,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://techcrunch.com/2014/02/03/a-tale-of-two-papers-facebook-fiftythree/,PASS,PASS,YES,PAIR-200-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Contemporaneous independent report confirms both Paper apps and FiftyThree's objection.
MV-H,MV-H-NEWSRC-015,CNT-DEC-STUDIO-NAME-001-200,New,https://www.geekwire.com/2014/paper-maker-fiftythree-facebook-stop-using-brand-name/,GeekWire,NEWS:geekwire.com,Independent news,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://www.geekwire.com/2014/paper-maker-fiftythree-facebook-stop-using-brand-name/,PASS,PASS,YES,PAIR-200-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Quotes FiftyThree's request and brand-confusion rationale.
MV-H,MV-H-NEWSRC-016,CNT-DEC-STUDIO-NAME-001-192,New,https://www.theguardian.com/technology/2014/jan/28/candy-crush-saga-king-cloning-trademarks,The Guardian,NEWS:theguardian.com,Independent news,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://www.theguardian.com/technology/2014/jan/28/candy-crush-saga-king-cloning-trademarks,PASS,PASS,YES,PAIR-192-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Independent report quotes King's CEO and documents the CANDY filing controversy.
MV-H,MV-H-NEWSRC-017,CNT-DEC-STUDIO-NAME-001-196,New,https://arstechnica.com/gaming/2022/05/ea-friendship-ended-with-fifa-now-ea-sports-fc-is-my-best-friend/,Ars Technica,NEWS:arstechnica.com,Independent news,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://arstechnica.com/gaming/2022/05/ea-friendship-ended-with-fifa-now-ea-sports-fc-is-my-best-friend/,PASS,PASS,YES,PAIR-196-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Independent report confirms partnership end and EA SPORTS FC name on May 10 2022.
MV-H,MV-H-NEWSRC-018,CNT-DEC-STUDIO-NAME-001-198,New,https://www.shacknews.com/article/120386/gods-and-monsters-was-renamed-to-immortals-fenyx-rising-over-issues-with-monster-energy,Shacknews,NEWS:shacknews.com,Independent news,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://www.shacknews.com/article/120386/gods-and-monsters-was-renamed-to-immortals-fenyx-rising-over-issues-with-monster-energy,PASS,PASS,YES,PAIR-198-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Confirms old and new title; causal account conflicts with Ubisoft denial so reason remains unverified.
MV-H,MV-H-NEWSRC-019,CNT-DEC-STUDIO-NAME-001-199,New,https://www.games.ch/prey-for-the-gods/news/prey-for-the-gods-muss-umbenannt-bethesda-gvic/,Games.ch,NEWS:games.ch,Independent news,SECONDARY/INDEPENDENT,VERIFIED_ACCESSIBLE,https://www.games.ch/prey-for-the-gods/news/prey-for-the-gods-muss-umbenannt-bethesda-gvic/,PASS,PASS,YES,PAIR-199-B,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Independent report confirms the May 2017 rename and trademark opposition.
MV-H,MV-H-NEWSRC-020,CNT-DEC-STUDIO-NAME-001-195,New,https://store.steampowered.com/news/posts/?appids=562860&enddate=1562852182&feed=steam_community_announcements,3D Realms and Voidpoint via Steam,PLATFORM:steampowered.com,Platform-hosted publisher announcement,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://store.steampowered.com/news/posts/?appids=562860&enddate=1562852182&feed=steam_community_announcements,PASS,PASS,YES,PAIR-195-A,independent-market-evidence-reviewer-MV-H,2026-08-10,12:28:21+03:00,REVIEWED,Publisher announcement preserves the Ion Maiden statement and title-change context.
