"Verification Batch ID","Counted Sample ID","Canonical Entity ID","Normalized Entity Name","Original Status","Verification Result","Qualifying Source 1 ID","Qualifying Source 2 ID","Primary Source Requirement","Independent Publisher Requirement","Independent Origin Requirement","Identity Check","Claim Support Check","Reviewer Agent ID","Review Date","Review Time","Confidence","Notes"
"MV-B","CNT-DEC-STUDIO-NAME-001-041","CAN-DEC-STUDIO-NAME-001-041","coffee stain studios","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-042","CAN-DEC-STUDIO-NAME-001-042","ghost ship games","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-043","CAN-DEC-STUDIO-NAME-001-043","iron gate studio","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-044","CAN-DEC-STUDIO-NAME-001-044","landfall games","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-087","SRC-DEC-STUDIO-NAME-001-088","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","HIGH","Live review confirmed an accessible official organisation source plus an accessible independent Wikimedia reference from distinct publisher and origin groups."
"MV-B","CNT-DEC-STUDIO-NAME-001-045","CAN-DEC-STUDIO-NAME-001-045","no more robots","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-046","CAN-DEC-STUDIO-NAME-001-046","failbetter games","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-047","CAN-DEC-STUDIO-NAME-001-047","weather factory","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-048","CAN-DEC-STUDIO-NAME-001-048","hello games","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-095","SRC-DEC-STUDIO-NAME-001-096","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","HIGH","Live review confirmed an accessible official organisation source plus an accessible independent Wikimedia reference from distinct publisher and origin groups."
"MV-B","CNT-DEC-STUDIO-NAME-001-049","CAN-DEC-STUDIO-NAME-001-049","ustwo games","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-097","SRC-DEC-STUDIO-NAME-001-098","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","HIGH","Live review confirmed an accessible official organisation source plus an accessible independent Wikimedia reference from distinct publisher and origin groups."
"MV-B","CNT-DEC-STUDIO-NAME-001-050","CAN-DEC-STUDIO-NAME-001-050","triband","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-051","CAN-DEC-STUDIO-NAME-001-051","frictional games","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-101","SRC-DEC-STUDIO-NAME-001-102","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","HIGH","Live review confirmed an accessible official organisation source plus an accessible independent Wikimedia reference from distinct publisher and origin groups."
"MV-B","CNT-DEC-STUDIO-NAME-001-052","CAN-DEC-STUDIO-NAME-001-052","image form games","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-053","CAN-DEC-STUDIO-NAME-001-053","zoink games","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-054","CAN-DEC-STUDIO-NAME-001-054","red thread games","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-055","CAN-DEC-STUDIO-NAME-001-055","housemarque","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-056","CAN-DEC-STUDIO-NAME-001-056","frozenbyte","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-057","CAN-DEC-STUDIO-NAME-001-057","colossal order","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-058","CAN-DEC-STUDIO-NAME-001-058","sad owl studios","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-115","SRC-DEC-STUDIO-NAME-001-116","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","HIGH","Live review confirmed an accessible official organisation source plus an accessible independent Wikimedia reference from distinct publisher and origin groups."
"MV-B","CNT-DEC-STUDIO-NAME-001-059","CAN-DEC-STUDIO-NAME-001-059","masomo","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
"MV-B","CNT-DEC-STUDIO-NAME-001-060","CAN-DEC-STUDIO-NAME-001-060","panicbarn","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","INCOMPLETE","INCOMPLETE","independent-market-evidence-reviewer-codex-root","2026-08-10","11:17:39+03:00","MEDIUM","Fail-closed: the existing pair did not satisfy every accessibility, identity, claim-support, publisher-independence, and origin-independence requirement."
