Verification Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Original Status,Verification Result,Qualifying Source 1 ID,Qualifying Source 2 ID,Primary Source Requirement,Independent Publisher Requirement,Independent Origin Requirement,Identity Check,Claim Support Check,Reviewer Agent ID,Review Date,Review Time,Confidence,Notes
MV-C,CNT-DEC-STUDIO-NAME-001-077,CAN-DEC-STUDIO-NAME-001-077,homa games,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-078,CAN-DEC-STUDIO-NAME-001-078,scopely,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-079,CAN-DEC-STUDIO-NAME-001-079,zynga,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-080,CAN-DEC-STUDIO-NAME-001-080,niantic,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-081,CAN-DEC-STUDIO-NAME-001-081,jam city,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-082,CAN-DEC-STUDIO-NAME-001-082,playrix,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-083,CAN-DEC-STUDIO-NAME-001-083,moon active,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-084,CAN-DEC-STUDIO-NAME-001-084,miniclip,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-085,CAN-DEC-STUDIO-NAME-001-085,voodoo,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-086,CAN-DEC-STUDIO-NAME-001-086,rollic,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-087,CAN-DEC-STUDIO-NAME-001-087,dream games,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-088,CAN-DEC-STUDIO-NAME-001-088,peak,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-089,CAN-DEC-STUDIO-NAME-001-089,good job games,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
MV-C,CNT-DEC-STUDIO-NAME-001-090,CAN-DEC-STUDIO-NAME-001-090,spyke games,STATUS_UNCERTAIN,STATUS_UNCERTAIN,,,FAIL,FAIL,FAIL,INCOMPLETE,INCOMPLETE,quality-assurance-director,2026-08-10,12:30:00+03:00,HIGH,"Fail-closed: no qualifying two-source independent pair; same corporate root and/or access, identity, or claim-support failure."
