"Verification Batch ID","Counted Sample ID","Canonical Entity ID","Normalized Entity Name","Original Status","Verification Result","Qualifying Source 1 ID","Qualifying Source 2 ID","Primary Source Requirement","Independent Publisher Requirement","Independent Origin Requirement","Identity Check","Claim Support Check","Reviewer Agent ID","Review Date","Review Time","Confidence","Notes"
"MV-A","CNT-DEC-STUDIO-NAME-001-011","CAN-DEC-STUDIO-NAME-001-011","xbox game studios","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-012","CAN-DEC-STUDIO-NAME-001-012","activision","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-023","SRC-DEC-STUDIO-NAME-001-024","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH","Two live-accessible, claim-supporting sources from independent publishers/origin groups, including one official source."
"MV-A","CNT-DEC-STUDIO-NAME-001-013","CAN-DEC-STUDIO-NAME-001-013","tripwire interactive","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-014","CAN-DEC-STUDIO-NAME-001-014","ci games","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-015","CAN-DEC-STUDIO-NAME-001-015","embracer group","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-016","CAN-DEC-STUDIO-NAME-001-016","paradox interactive","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-031","SRC-DEC-STUDIO-NAME-001-032","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH","Two live-accessible, claim-supporting sources from independent publishers/origin groups, including one official source."
"MV-A","CNT-DEC-STUDIO-NAME-001-017","CAN-DEC-STUDIO-NAME-001-017","focus entertainment","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-033","SRC-DEC-STUDIO-NAME-001-034","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH","Two live-accessible, claim-supporting sources from independent publishers/origin groups, including one official source."
"MV-A","CNT-DEC-STUDIO-NAME-001-018","CAN-DEC-STUDIO-NAME-001-018","nacon","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-019","CAN-DEC-STUDIO-NAME-001-019","hooded horse","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-020","CAN-DEC-STUDIO-NAME-001-020","netease games","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-021","CAN-DEC-STUDIO-NAME-001-021","tencent games","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-022","CAN-DEC-STUDIO-NAME-001-022","krafton","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-023","CAN-DEC-STUDIO-NAME-001-023","ncsoft","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-024","CAN-DEC-STUDIO-NAME-001-024","nexon","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-047","SRC-DEC-STUDIO-NAME-001-048","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH","Two live-accessible, claim-supporting sources from independent publishers/origin groups, including one official source."
"MV-A","CNT-DEC-STUDIO-NAME-001-025","CAN-DEC-STUDIO-NAME-001-025","pearl abyss","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-049","SRC-DEC-STUDIO-NAME-001-050","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH","Two live-accessible, claim-supporting sources from independent publishers/origin groups, including one official source."
"MV-A","CNT-DEC-STUDIO-NAME-001-026","CAN-DEC-STUDIO-NAME-001-026","devolver digital","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","FAIL","FAIL","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-027","CAN-DEC-STUDIO-NAME-001-027","annapurna interactive","STATUS_UNCERTAIN","VERIFIED_ACTIVE","SRC-DEC-STUDIO-NAME-001-053","SRC-DEC-STUDIO-NAME-001-054","PASS","PASS","PASS","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH","Two live-accessible, claim-supporting sources from independent publishers/origin groups, including one official source."
"MV-A","CNT-DEC-STUDIO-NAME-001-028","CAN-DEC-STUDIO-NAME-001-028","team17","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-029","CAN-DEC-STUDIO-NAME-001-029","raw fury","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
"MV-A","CNT-DEC-STUDIO-NAME-001-030","CAN-DEC-STUDIO-NAME-001-030","11 bit studios","STATUS_UNCERTAIN","STATUS_UNCERTAIN","","","FAIL","FAIL","FAIL","PASS","PASS","independent-market-evidence-verification-reviewer","2026-08-10","10:35:13+03:00","HIGH â€” fail-closed","Fail-closed: the existing pair has a blocked/broken/mismatched source or lacks independent publisher/origin separation."
