Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Final Verification Status,Qualifying Reviewed Source IDs,Qualifying Source Count,Primary/Official Source Count,Reviewer Agent ID,Review Date,Notes
MV-E,CNT-DEC-STUDIO-NAME-001-134,CAN-DEC-STUDIO-NAME-001-134,wargaming,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-135,CAN-DEC-STUDIO-NAME-001-135,gaijin entertainment,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-136,CAN-DEC-STUDIO-NAME-001-136,ccp games,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-137,CAN-DEC-STUDIO-NAME-001-137,jagex,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-138,CAN-DEC-STUDIO-NAME-001-138,frontier developments,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-139,CAN-DEC-STUDIO-NAME-001-139,funcom,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-140,CAN-DEC-STUDIO-NAME-001-140,standing stone games,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-141,CAN-DEC-STUDIO-NAME-001-141,arenanet,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-142,CAN-DEC-STUDIO-NAME-001-142,digital extremes,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-143,CAN-DEC-STUDIO-NAME-001-143,grinding gear games,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-144,CAN-DEC-STUDIO-NAME-001-144,smilegate rpg,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-145,CAN-DEC-STUDIO-NAME-001-145,webzen,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-146,CAN-DEC-STUDIO-NAME-001-146,imc games,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-147,CAN-DEC-STUDIO-NAME-001-147,kakao games,VERIFIED_ACTIVE,SRC-DEC-STUDIO-NAME-001-293;SRC-DEC-STUDIO-NAME-001-294,2,1,independent-market-evidence-reviewer-mv-e,2026-08-10,Official source plus independent Wikipedia reference passed all controls.
MV-E,CNT-DEC-STUDIO-NAME-001-148,CAN-DEC-STUDIO-NAME-001-148,gravity,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-149,CAN-DEC-STUDIO-NAME-001-149,riot games,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
MV-E,CNT-DEC-STUDIO-NAME-001-150,CAN-DEC-STUDIO-NAME-001-150,sandbox interactive,STATUS_UNCERTAIN,,0,0,independent-market-evidence-reviewer-mv-e,2026-08-10,"Fail-closed: no qualifying independent two-source pair, or a source failed access, identity, or claim review."
