Batch ID,Source ID,Counted Sample ID,Existing or New,URL / Official Record ID,Publisher/Institution,Source Origin Group,Source Type,Primary/Official Classification,Accessibility Result,Final URL,Identity Result,Claim Support Result,Qualifies as Evidence,Independence Pair ID,Reviewer Agent ID,Review Date,Review Time,Final Review Status,Notes
MV-G,SRC-DEC-STUDIO-NAME-001-368,CNT-DEC-STUDIO-NAME-001-184,Existing,https://plaion.com/,PLAION,ORG:plaion.com,Corporate homepage,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://plaion.com/,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-184,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:03:00+03:00,REJECTED,Same corporate root and homepage is not independent event evidence.
MV-G,MV-G-NEWSRC-005,CNT-DEC-STUDIO-NAME-001-184,New,https://www.gameswirtschaft.de/wirtschaft/plaion-umbenennung-koch-media/,GamesWirtschaft,NEWS:gameswirtschaft.de,Independent industry news,INDEPENDENT/SECONDARY,VERIFIED_ACCESSIBLE,https://www.gameswirtschaft.de/wirtschaft/plaion-umbenennung-koch-media/,PASS,PASS,YES,MV-G-PAIR-184,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:03:00+03:00,REVIEWED,Independent industry report corroborates names and date.
MV-G,SRC-DEC-STUDIO-NAME-001-369,CNT-DEC-STUDIO-NAME-001-185,Existing,https://www.bhvr.com/,Behaviour Interactive,ORG:bhvr.com,Corporate homepage,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.bhvr.com/,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-185,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:04:00+03:00,REJECTED,Current identity only; historical change details absent.
MV-G,SRC-DEC-STUDIO-NAME-001-370,CNT-DEC-STUDIO-NAME-001-185,Existing,https://www.bhvr.com/games/,Behaviour Interactive,ORG:bhvr.com,Official portfolio,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.bhvr.com/games/,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-185,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:04:00+03:00,REJECTED,Same corporate root; portfolio does not establish rebrand event.
MV-G,MV-G-NEWSRC-006,CNT-DEC-STUDIO-NAME-001-185,New,https://www.gematsu.com/2010/11/artifical-mind-and-movement-changes-name-to-behaviour-interactive,Gematsu,NEWS:gematsu.com,Independent industry news,INDEPENDENT/SECONDARY,VERIFIED_ACCESSIBLE,https://www.gematsu.com/2010/11/artifical-mind-and-movement-changes-name-to-behaviour-interactive,PASS,PASS,YES,MV-G-PAIR-185,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:04:00+03:00,REVIEWED,Independent report supports names and date but no qualifying official event source was found.
MV-G,SRC-DEC-STUDIO-NAME-001-371,CNT-DEC-STUDIO-NAME-001-186,Existing,https://dont-nod.com/en/dontnod-is-now-dont-nod/,DON'T NOD,ORG:dont-nod.com,Official announcement,PRIMARY/OFFICIAL,BROKEN_LINK,https://dont-nod.com/en/dontnod-is-now-dont-nod/,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-186,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:05:00+03:00,REJECTED,Existing HTML event URL unavailable; preserved and replaced.
MV-G,SRC-DEC-STUDIO-NAME-001-372,CNT-DEC-STUDIO-NAME-001-186,Existing,https://dont-nod.com/,DON'T NOD,ORG:dont-nod.com,Corporate homepage,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://dont-nod.com/en/,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-186,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:05:00+03:00,REJECTED,Homepage does not establish historical event.
MV-G,MV-G-NEWSRC-007,CNT-DEC-STUDIO-NAME-001-186,New,https://dont-nod.com/wp-content/uploads/2022/05/ENG_PR_DONT-NOD-new-visual-identity.pdf,DON'T NOD,ORG:dont-nod.com,Official press release PDF,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://dont-nod.com/wp-content/uploads/2022/05/ENG_PR_DONT-NOD-new-visual-identity.pdf,PASS,PASS,YES,MV-G-PAIR-186,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:05:00+03:00,REVIEWED,Official dated release identifies prior and new names.
MV-G,MV-G-NEWSRC-008,CNT-DEC-STUDIO-NAME-001-186,New,https://www.nintendolife.com/news/2022/05/life-is-strange-devs-dontnod-announce-rebrand-plus-a-peek-at-their-new-games,Nintendo Life,NEWS:nintendolife.com,Independent industry news,INDEPENDENT/SECONDARY,VERIFIED_ACCESSIBLE,https://www.nintendolife.com/news/2022/05/life-is-strange-devs-dontnod-announce-rebrand-plus-a-peek-at-their-new-games,PASS,PASS,YES,MV-G-PAIR-186,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:05:00+03:00,REVIEWED,Independent report corroborates names and 2022-05-31 date.
MV-G,SRC-DEC-STUDIO-NAME-001-373,CNT-DEC-STUDIO-NAME-001-187,Existing,https://www.daybreakgames.com/news/sony-online-entertainment-becomes-daybreak-game-company,Daybreak Game Company,ORG:daybreakgames.com,Official announcement,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.daybreakgames.com/news/sony-online-entertainment-becomes-daybreak-game-company,RECHECK_REQUIRED,RECHECK_REQUIRED,NO,MV-G-PAIR-187,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:06:00+03:00,NEEDS_RECHECK,Connection prevented live content verification.
MV-G,SRC-DEC-STUDIO-NAME-001-374,CNT-DEC-STUDIO-NAME-001-187,Existing,https://www.daybreakgames.com/,Daybreak Game Company,ORG:daybreakgames.com,Corporate homepage,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://www.daybreakgames.com/,RECHECK_REQUIRED,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-187,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:06:00+03:00,NEEDS_RECHECK,Access could not be consistently verified and homepage is not event evidence.
MV-G,MV-G-NEWSRC-009,CNT-DEC-STUDIO-NAME-001-187,New,https://www.gamedeveloper.com/business/sold-by-sony-soe-becomes-a-multi-platform-indie-studio-daybreak,Game Developer,NEWS:gamedeveloper.com,Independent industry news,INDEPENDENT/SECONDARY,VERIFIED_ACCESSIBLE,https://www.gamedeveloper.com/business/sold-by-sony-soe-becomes-a-multi-platform-indie-studio-daybreak,PASS,PASS,YES,MV-G-PAIR-187,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:06:00+03:00,REVIEWED,Independent report supports event; official source remains inaccessible.
MV-G,SRC-DEC-STUDIO-NAME-001-375,CNT-DEC-STUDIO-NAME-001-188,Existing,https://about.x.com/,X Corp.,ORG:x.com,Corporate homepage,PRIMARY/OFFICIAL,RECHECK_REQUIRED,https://about.x.com/,RECHECK_REQUIRED,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-188,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:07:00+03:00,NEEDS_RECHECK,Timeout and no direct event claim verified.
MV-G,SRC-DEC-STUDIO-NAME-001-376,CNT-DEC-STUDIO-NAME-001-188,Existing,https://help.x.com/en/rules-and-policies/x-corp,X Corp.,ORG:x.com,Official policy page,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://help.x.com/en/rules-and-policies/x-corp,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-188,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:07:00+03:00,REJECTED,Corporate identity page does not establish Twitter-to-X brand event date.
MV-G,MV-G-NEWSRC-010,CNT-DEC-STUDIO-NAME-001-188,New,https://apnews.com/article/98e4905027104347c7fd20fdff1641c8,Associated Press,NEWS:apnews.com,Independent news,INDEPENDENT/SECONDARY,VERIFIED_ACCESSIBLE,https://apnews.com/article/98e4905027104347c7fd20fdff1641c8,PASS,PASS,YES,MV-G-PAIR-188,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:07:00+03:00,REVIEWED,Independent retrospective corroborates rebrand but no qualifying official event source passed.
MV-G,SRC-DEC-STUDIO-NAME-001-377,CNT-DEC-STUDIO-NAME-001-189,Existing,https://www.ziffdavis.com/news/j2-global-changes-name-to-ziff-davis,Ziff Davis,ORG:ziffdavis.com,Official announcement,PRIMARY/OFFICIAL,VERIFIED_WITH_REDIRECT,https://investor.ziffdavis.com/news/news-details/2021/J2-Global-to-Change-Its-Name-to-Ziff-Davis-Following-the-Planned-Spin-Off-of-Its-Consensus-Business/default.aspx,PASS,PASS,YES,MV-G-PAIR-189,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:08:00+03:00,REVIEWED,Official announcement establishes intended names; completion date corroborated by independent report.
MV-G,SRC-DEC-STUDIO-NAME-001-378,CNT-DEC-STUDIO-NAME-001-189,Existing,https://www.ziffdavis.com/,Ziff Davis,ORG:ziffdavis.com,Corporate homepage,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.ziffdavis.com/,PASS,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-189,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:08:00+03:00,REJECTED,Same corporate root and homepage does not establish event date.
MV-G,MV-G-NEWSRC-011,CNT-DEC-STUDIO-NAME-001-189,New,https://www.mediapost.com/publications/article/367686/ziff-davis-spins-off-cloud-services-division-beco.html,MediaPost,NEWS:mediapost.com,Independent trade news,INDEPENDENT/SECONDARY,VERIFIED_ACCESSIBLE,https://www.mediapost.com/publications/article/367686/ziff-davis-spins-off-cloud-services-division-beco.html,PASS,PASS,YES,MV-G-PAIR-189,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:08:00+03:00,REVIEWED,Independent report identifies former J2 Global and completed Ziff Davis change.
MV-G,SRC-DEC-STUDIO-NAME-001-379,CNT-DEC-STUDIO-NAME-001-190,Existing,https://www.paramount.com/press/viacomcbs-unveils-new-company-name-global-content-slate-and-international-expansion-plans-at-investor-event,Paramount Global,ORG:paramount.com,Official announcement,PRIMARY/OFFICIAL,VERIFIED_ACCESSIBLE,https://www.paramount.com/press/viacomcbs-unveils-new-company-name-global-content-slate-and-international-expansion-plans-at-investor-event,PASS,PASS,YES,MV-G-PAIR-190,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:09:00+03:00,REVIEWED,Official announcement establishes ViacomCBS-to-Paramount Global change.
MV-G,SRC-DEC-STUDIO-NAME-001-380,CNT-DEC-STUDIO-NAME-001-190,Existing,https://www.paramount.com/,Paramount Global,ORG:paramount.com,Corporate homepage,PRIMARY/OFFICIAL,ACCESS_BLOCKED,https://www.paramount.com/,RECHECK_REQUIRED,CLAIM_NOT_SUPPORTED,NO,MV-G-PAIR-190,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:09:00+03:00,REJECTED,Access blocked and same corporate root; not qualifying.
MV-G,MV-G-NEWSRC-012,CNT-DEC-STUDIO-NAME-001-190,New,https://www.euronews.com/next/2022/02/16/viacomcbs-results,Reuters via Euronews,NEWS:reuters.com,Independent wire report,INDEPENDENT/SECONDARY,VERIFIED_ACCESSIBLE,https://www.euronews.com/next/2022/02/16/viacomcbs-results,PASS,PASS,YES,MV-G-PAIR-190,independent-market-evidence-verification-reviewer-mv-g,2026-08-10,13:09:00+03:00,REVIEWED,Reuters report independently corroborates names and date.
