Batch ID,Counted Sample ID,Canonical Entity ID,Normalized Entity Name,Final Verification Status,Qualifying Reviewed Source IDs,Qualifying Source Count,Distinct Publisher Count,Distinct Source Origin Group Count,Primary/Official Qualifying Count,Collector Agent ID,Reviewer Agent ID,Review Date,Notes
MV-F,CNT-DEC-STUDIO-NAME-001-161,CAN-DEC-STUDIO-NAME-001-161,midjourney,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-322,1,1,1,0,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-162,CAN-DEC-STUDIO-NAME-001-162,runway,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-323;SRC-DEC-STUDIO-NAME-001-324,2,1,2,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-163,CAN-DEC-STUDIO-NAME-001-163,stability ai,VERIFIED_ACTIVE,SRC-DEC-STUDIO-NAME-001-325;SRC-DEC-STUDIO-NAME-001-326,2,2,2,1,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Two accessible REVIEWED sources pass identity/claim checks, have distinct publishers and origin groups, and include one PRIMARY/OFFICIAL source."
MV-F,CNT-DEC-STUDIO-NAME-001-164,CAN-DEC-STUDIO-NAME-001-164,canva,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-327,1,1,1,1,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-165,CAN-DEC-STUDIO-NAME-001-165,figma,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-329;SRC-DEC-STUDIO-NAME-001-330,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-166,CAN-DEC-STUDIO-NAME-001-166,blender foundation,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-331;SRC-DEC-STUDIO-NAME-001-332,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-167,CAN-DEC-STUDIO-NAME-001-167,sidefx,VERIFIED_ACTIVE,SRC-DEC-STUDIO-NAME-001-333;SRC-DEC-STUDIO-NAME-001-334,2,2,2,1,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Two accessible REVIEWED sources pass identity/claim checks, have distinct publishers and origin groups, and include one PRIMARY/OFFICIAL source."
MV-F,CNT-DEC-STUDIO-NAME-001-168,CAN-DEC-STUDIO-NAME-001-168,foundry,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-335;SRC-DEC-STUDIO-NAME-001-336,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-169,CAN-DEC-STUDIO-NAME-001-169,blackmagic design,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-337;SRC-DEC-STUDIO-NAME-001-338,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-170,CAN-DEC-STUDIO-NAME-001-170,wacom,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-339;SRC-DEC-STUDIO-NAME-001-340,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-171,CAN-DEC-STUDIO-NAME-001-171,huion,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-341;SRC-DEC-STUDIO-NAME-001-342,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-172,CAN-DEC-STUDIO-NAME-001-172,maxon,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-343;SRC-DEC-STUDIO-NAME-001-344,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-173,CAN-DEC-STUDIO-NAME-001-173,ableton,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-345;SRC-DEC-STUDIO-NAME-001-346,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-174,CAN-DEC-STUDIO-NAME-001-174,native instruments,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-348,1,1,1,0,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-175,CAN-DEC-STUDIO-NAME-001-175,akai professional,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-349,1,1,1,1,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-176,CAN-DEC-STUDIO-NAME-001-176,samsung,VERIFIED_ACTIVE,SRC-DEC-STUDIO-NAME-001-351;SRC-DEC-STUDIO-NAME-001-352,2,2,2,1,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Two accessible REVIEWED sources pass identity/claim checks, have distinct publishers and origin groups, and include one PRIMARY/OFFICIAL source."
MV-F,CNT-DEC-STUDIO-NAME-001-177,CAN-DEC-STUDIO-NAME-001-177,huawei,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-353;SRC-DEC-STUDIO-NAME-001-354,2,1,2,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-178,CAN-DEC-STUDIO-NAME-001-178,ar elik,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-355,1,1,1,1,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-179,CAN-DEC-STUDIO-NAME-001-179,trendyol,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-357;SRC-DEC-STUDIO-NAME-001-358,2,1,1,2,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
MV-F,CNT-DEC-STUDIO-NAME-001-180,CAN-DEC-STUDIO-NAME-001-180,insider,STATUS_UNCERTAIN,SRC-DEC-STUDIO-NAME-001-359,1,1,1,1,market-research-director,independent-market-evidence-verification-reviewer-mv-f,2026-08-10,"Fail-closed: fewer than two independent qualifying sources, or an access/identity requirement remains unresolved."
