Counted Sample ID,Canonical Entity ID,Entity Name,Batch,Record Type,Region,Primary Layer,Current Verification Result,Existing Reviewed Source Count,Missing Independent Source Count,Missing Primary Source,Network Failure Present,Claim Support Failure Present,Identity Failure Present,Recommended Recovery Source Type,Recovery Priority,Notes
CNT-DEC-STUDIO-NAME-001-041,CAN-DEC-STUDIO-NAME-001-041,Coffee Stain Studios,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-042,CAN-DEC-STUDIO-NAME-001-042,Ghost Ship Games,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-043,CAN-DEC-STUDIO-NAME-001-043,Iron Gate Studio,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-045,CAN-DEC-STUDIO-NAME-001-045,No More Robots,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-046,CAN-DEC-STUDIO-NAME-001-046,Failbetter Games,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-047,CAN-DEC-STUDIO-NAME-001-047,Weather Factory,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-050,CAN-DEC-STUDIO-NAME-001-050,Triband,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-052,CAN-DEC-STUDIO-NAME-001-052,Image & Form Games,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-053,CAN-DEC-STUDIO-NAME-001-053,Zoink Games,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-054,CAN-DEC-STUDIO-NAME-001-054,Red Thread Games,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-055,CAN-DEC-STUDIO-NAME-001-055,Housemarque,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-056,CAN-DEC-STUDIO-NAME-001-056,Frozenbyte,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-057,CAN-DEC-STUDIO-NAME-001-057,Colossal Order,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-059,CAN-DEC-STUDIO-NAME-001-059,Masomo,MV-B,ACTIVE,Türkiye ve yakın bölge,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-060,CAN-DEC-STUDIO-NAME-001-060,PanicBarn,MV-B,ACTIVE,Avrupa,Bağımsız stüdyolar,STATUS_UNCERTAIN,0,2,YES,NO,NO,NO,Independent primary/official source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-063,CAN-DEC-STUDIO-NAME-001-063,Aggro Crab,MV-C,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-065,CAN-DEC-STUDIO-NAME-001-065,Night School Studio,MV-C,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-066,CAN-DEC-STUDIO-NAME-001-066,Mobius Digital,MV-C,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-067,CAN-DEC-STUDIO-NAME-001-067,DrinkBox Studios,MV-C,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-068,CAN-DEC-STUDIO-NAME-001-068,Kitfox Games,MV-C,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-069,CAN-DEC-STUDIO-NAME-001-069,Brace Yourself Games,MV-C,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-070,CAN-DEC-STUDIO-NAME-001-070,Freebird Games,MV-C,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-071,CAN-DEC-STUDIO-NAME-001-071,Studio MDHR,MV-C,ACTIVE,Kuzey Amerika,Bağımsız stüdyolar,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-072,CAN-DEC-STUDIO-NAME-001-072,Team Cherry,MV-C,ACTIVE,Diğer bölgeler,Bağımsız stüdyolar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-073,CAN-DEC-STUDIO-NAME-001-073,Witch Beam,MV-C,ACTIVE,Diğer bölgeler,Bağımsız stüdyolar,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-074,CAN-DEC-STUDIO-NAME-001-074,Beethoven & Dinosaur,MV-C,ACTIVE,Diğer bölgeler,Bağımsız stüdyolar,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-075,CAN-DEC-STUDIO-NAME-001-075,Mojiken Studio,MV-C,ACTIVE,Güney ve Güneydoğu Asya,Bağımsız stüdyolar,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-076,CAN-DEC-STUDIO-NAME-001-076,Supercell,MV-C,ACTIVE,Avrupa,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-077,CAN-DEC-STUDIO-NAME-001-077,Homa Games,MV-C,ACTIVE,Avrupa,Mobil oyun şirketleri,STATUS_UNCERTAIN,1,1,NO,NO,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-078,CAN-DEC-STUDIO-NAME-001-078,Scopely,MV-C,ACTIVE,Kuzey Amerika,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-079,CAN-DEC-STUDIO-NAME-001-079,Zynga,MV-C,ACTIVE,Kuzey Amerika,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-080,CAN-DEC-STUDIO-NAME-001-080,Niantic,MV-C,ACTIVE,Kuzey Amerika,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-081,CAN-DEC-STUDIO-NAME-001-081,Jam City,MV-C,ACTIVE,Kuzey Amerika,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-082,CAN-DEC-STUDIO-NAME-001-082,Playrix,MV-C,ACTIVE,Avrupa,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-083,CAN-DEC-STUDIO-NAME-001-083,Moon Active,MV-C,ACTIVE,Türkiye ve yakın bölge,Mobil oyun şirketleri,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-084,CAN-DEC-STUDIO-NAME-001-084,Miniclip,MV-C,ACTIVE,Avrupa,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-085,CAN-DEC-STUDIO-NAME-001-085,Voodoo,MV-C,ACTIVE,Avrupa,Mobil oyun şirketleri,STATUS_UNCERTAIN,1,1,NO,YES,YES,YES,Independent corroborating source,P1,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-086,CAN-DEC-STUDIO-NAME-001-086,Rollic,MV-C,ACTIVE,Türkiye ve yakın bölge,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-087,CAN-DEC-STUDIO-NAME-001-087,Dream Games,MV-C,ACTIVE,Türkiye ve yakın bölge,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-088,CAN-DEC-STUDIO-NAME-001-088,Peak,MV-C,ACTIVE,Türkiye ve yakın bölge,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-089,CAN-DEC-STUDIO-NAME-001-089,Good Job Games,MV-C,ACTIVE,Türkiye ve yakın bölge,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-090,CAN-DEC-STUDIO-NAME-001-090,Spyke Games,MV-C,ACTIVE,Türkiye ve yakın bölge,Mobil oyun şirketleri,STATUS_UNCERTAIN,2,0,NO,NO,NO,NO,Independent corroborating source,P3,Qualifying evidence threshold not met; identity; claim support; primary source; publisher independence; origin independence
CNT-DEC-STUDIO-NAME-001-091,CAN-DEC-STUDIO-NAME-001-091,Ace Games,MV-D,ACTIVE,Türkiye ve yakın bölge,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-092,CAN-DEC-STUDIO-NAME-001-092,Tilting Point,MV-D,ACTIVE,Kuzey Amerika,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-093,CAN-DEC-STUDIO-NAME-001-093,Kabam,MV-D,ACTIVE,Kuzey Amerika,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-094,CAN-DEC-STUDIO-NAME-001-094,Lilith Games,MV-D,ACTIVE,Doğu Asya,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-095,CAN-DEC-STUDIO-NAME-001-095,Yoozoo Games,MV-D,ACTIVE,Doğu Asya,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-096,CAN-DEC-STUDIO-NAME-001-096,Com2uS,MV-D,ACTIVE,Doğu Asya,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-097,CAN-DEC-STUDIO-NAME-001-097,Netmarble,MV-D,ACTIVE,Doğu Asya,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-098,CAN-DEC-STUDIO-NAME-001-098,Shift Up,MV-D,ACTIVE,Doğu Asya,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-099,CAN-DEC-STUDIO-NAME-001-099,Mighty Bear Games,MV-D,ACTIVE,Güney ve Güneydoğu Asya,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-100,CAN-DEC-STUDIO-NAME-001-100,Amanotes,MV-D,ACTIVE,Güney ve Güneydoğu Asya,Mobil oyun şirketleri,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-101,CAN-DEC-STUDIO-NAME-001-101,Naughty Dog,MV-D,ACTIVE,Kuzey Amerika,PC/konsol stüdyoları,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
CNT-DEC-STUDIO-NAME-001-102,CAN-DEC-STUDIO-NAME-001-102,Insomniac Games,MV-D,ACTIVE,Kuzey Amerika,PC/konsol stüdyoları,STATUS_UNCERTAIN,0,2,YES,YES,YES,YES,Independent primary/official source,P2,Qualifying evidence threshold not met
